Date,CB10,CB5
1/2/2001,1.699,1.214
1/3/2001,1.699,1.213
1/4/2001,1.671,1.1735
1/5/2001,1.661,1.152
1/8/2001,1.66,1.1505
1/9/2001,1.603,1.115
1/10/2001,1.626,1.148
1/11/2001,1.563,1.113
1/12/2001,1.538,1.1055
1/15/2001,1.55,1.1135
1/16/2001,1.581,1.1275
1/17/2001,1.605,1.141
1/18/2001,1.555,1.099
1/19/2001,1.532,1.08
1/22/2001,1.489,1.0385
1/23/2001,1.499,1.0475
1/24/2001,1.507,1.0605
1/25/2001,1.45,1.0225
1/26/2001,1.442,1.0185
1/29/2001,1.464,1.034
1/30/2001,1.508,1.061
1/31/2001,1.501,1.088
2/1/2001,1.501,1.0945
2/2/2001,1.557,1.141
2/5/2001,1.507,1.097
2/6/2001,1.521,1.103
2/7/2001,1.478,1.0655
2/8/2001,1.483,1.057
2/9/2001,1.449,1.017
2/12/2001,1.448,1.0155
2/13/2001,1.409,0.996
2/14/2001,1.427,1.011
2/15/2001,1.413,1.0005
2/16/2001,1.428,1
2/19/2001,1.394,0.942
2/20/2001,1.416,0.9795
2/21/2001,1.394,0.969
2/22/2001,1.454,1.0085
2/23/2001,1.433,0.9785
2/26/2001,1.4,0.941
2/27/2001,1.374,0.934
2/28/2001,1.371,0.9285
3/1/2001,1.253,0.8415
3/2/2001,1.279,0.858
3/5/2001,1.285,0.8575
3/6/2001,1.247,0.8355
3/7/2001,1.222,0.8305
3/8/2001,1.248,0.847
3/9/2001,1.293,0.87
3/12/2001,1.261,0.8415
3/13/2001,1.26,0.8395
3/14/2001,1.213,0.792
3/15/2001,1.209,0.779
3/16/2001,1.196,0.7605
3/19/2001,1.192,0.759
3/20/2001,1.192,0.7585
3/21/2001,1.116,0.709
3/22/2001,1.142,0.7375
3/23/2001,1.213,0.8025
3/26/2001,1.21,0.798
3/27/2001,1.253,0.834
3/28/2001,1.339,0.9005
3/29/2001,1.367,0.913
3/30/2001,1.288,0.852
3/31/2001,1.316,0.8795
4/2/2001,1.39,0.9185
4/3/2001,1.366,0.9025
4/4/2001,1.355,0.8765
4/5/2001,1.344,0.8645
4/6/2001,1.303,0.846
4/9/2001,1.315,0.8305
4/10/2001,1.359,0.8735
4/11/2001,1.353,0.865
4/12/2001,1.461,0.9255
4/16/2001,1.454,0.91
4/17/2001,1.462,0.9165
4/18/2001,1.502,0.9425
4/19/2001,1.447,0.9065
4/20/2001,1.412,0.8735
4/23/2001,1.344,0.823
4/24/2001,1.317,0.811
4/25/2001,1.309,0.805
4/26/2001,1.284,0.785
4/27/2001,1.262,0.775
4/30/2001,1.284,0.7835
5/1/2001,1.301,0.7945
5/2/2001,1.316,0.8
5/3/2001,1.316,0.799
5/4/2001,1.316,0.7985
5/7/2001,1.282,0.774
5/8/2001,1.236,0.7505
5/9/2001,1.211,0.7345
5/10/2001,1.213,0.721
5/11/2001,1.196,0.684
5/14/2001,1.181,0.6785
5/15/2001,1.204,0.7055
5/16/2001,1.206,0.7005
5/17/2001,1.207,0.694
5/18/2001,1.185,0.656
5/21/2001,1.218,0.6805
5/22/2001,1.221,0.686
5/23/2001,1.211,0.683
5/24/2001,1.192,0.671
5/25/2001,1.189,0.6745
5/28/2001,1.175,0.665
5/29/2001,1.185,0.664
5/30/2001,1.179,0.655
5/31/2001,1.177,0.6415
6/1/2001,1.18,0.6455
6/4/2001,1.178,0.646
6/5/2001,1.158,0.632
6/6/2001,1.188,0.651
6/7/2001,1.18,0.648
6/8/2001,1.19,0.659
6/11/2001,1.159,0.637
6/12/2001,1.141,0.6305
6/13/2001,1.119,0.619
6/14/2001,1.106,0.604
6/15/2001,1.13,0.6135
6/18/2001,1.121,0.603
6/19/2001,1.112,0.597
6/20/2001,1.119,0.6055
